,Product_ID,Status,Source_Website,Source_campaign,Source_live chat,Source_new client,Source_recommendation,Source_social,Sales_Agent_SalesAgent10,Sales_Agent_SalesAgent11,Sales_Agent_SalesAgent12,Sales_Agent_SalesAgent2,Sales_Agent_SalesAgent3,Sales_Agent_SalesAgent4,Sales_Agent_SalesAgent5,Sales_Agent_SalesAgent6,Sales_Agent_SalesAgent7,Sales_Agent_SalesAgent8,Sales_Agent_SalesAgent9,Location_Chennai,Location_Delhi,Location_Hyderabad,Location_Kolkata,Location_Mumbai,Location_Other Locations,Location_Pune,Location_Trivandrum,Location_UAE,Location_UK,Location_USA,Delivery_Mode_Mode3,Delivery_Mode_Mode5
10,18,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11,18,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12,18,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
13,18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
14,18,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
15,18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16,18,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
17,18,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
18,9,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
